Date,Close
2000-01-01,109.93
2000-01-02,97.33
2000-01-03,113.14
2000-01-04,130.74
2000-01-05,95.7
2000-01-06,95.79
2000-01-07,132.15
2000-01-08,116.01
2000-01-09,91.37
2000-01-10,111.7
2000-01-11,91.68
2000-01-12,91.73
2000-01-13,105.98
2000-01-14,62.97
2000-01-15,66.83
2000-01-16,90.18
2000-01-17,81.26
2000-01-18,107.9
2000-01-19,83.55
2000-01-20,73.55
2000-01-21,131.21
2000-01-22,97.47
2000-01-23,103.44
2000-01-24,73.68
2000-01-25,91.39
2000-01-26,104.59
2000-01-27,79.44
2000-01-28,110.07
2000-01-29,90.64
2000-01-30,96.91
2000-01-31,90.81
2000-02-01,139.98
2000-02-02,102.76
2000-02-03,81.97
2000-02-04,119.67
2000-02-05,78.9
2000-02-06,107.59
2000-02-07,64.31
2000-02-08,77.04
2000-02-09,107.63
2000-02-10,118.56
2000-02-11,107.31
2000-02-12,101.67
2000-02-13,98.05
2000-02-14,74.6
2000-02-15,89.87
2000-02-16,95.15
2000-02-17,125.6
2000-02-18,111.42
2000-02-19,69.38
2000-02-20,111.22
2000-02-21,97.13
2000-02-22,91.39
2000-02-23,117.26
2000-02-24,125.74
2000-02-25,123.84
2000-02-26,88.52
2000-02-27,99.22
2000-02-28,112.12
2000-02-29,125.1
2000-03-01,96.1
2000-03-02,102.07
2000-03-03,83.75
2000-03-04,82.05
2000-03-05,122.32
2000-03-06,133.29
2000-03-07,104.82
2000-03-08,126.42
2000-03-09,113.68
2000-03-10,93.64
2000-03-11,113.86
2000-03-12,137.49
2000-03-13,106.11
2000-03-14,138.21
2000-03-15,54.62
2000-03-16,123.55
2000-03-17,108.94
2000-03-18,101.32
2000-03-19,109.23
2000-03-20,67.74
2000-03-21,103.19
2000-03-22,114.82
2000-03-23,137.33
2000-03-24,97.5
2000-03-25,91.79
2000-03-26,98.02
2000-03-27,126.46
2000-03-28,114.82
2000-03-29,97.75
2000-03-30,118.7
2000-03-31,110.47
2000-04-01,128.0
2000-04-02,94.68
2000-04-03,102.26
2000-04-04,101.07
2000-04-05,79.73
2000-04-06,115.02
2000-04-07,114.41
2000-04-08,109.39
2000-04-09,104.69
2000-04-10,81.17
2000-04-11,101.16
2000-04-12,102.81
2000-04-13,93.72
2000-04-14,106.63
2000-04-15,118.03
2000-04-16,147.77
2000-04-17,113.63
2000-04-18,115.39
2000-04-19,108.84
2000-04-20,72.05
2000-04-21,109.99
2000-04-22,111.82
2000-04-23,159.97
2000-04-24,106.96
2000-04-25,116.93
2000-04-26,110.3
2000-04-27,87.72
2000-04-28,134.04
2000-04-29,126.32
2000-04-30,127.19
2000-05-01,93.28
2000-05-02,139.62
2000-05-03,83.62
2000-05-04,123.49
2000-05-05,155.66
2000-05-06,92.13
2000-05-07,100.71
2000-05-08,114.12
2000-05-09,102.16
2000-05-10,81.31
2000-05-11,113.79
2000-05-12,91.26
2000-05-13,122.08
2000-05-14,94.31
2000-05-15,143.79
2000-05-16,97.22
2000-05-17,106.54
2000-05-18,129.35
2000-05-19,88.56
2000-05-20,117.82
2000-05-21,139.51
2000-05-22,81.31
2000-05-23,117.25
2000-05-24,118.85
2000-05-25,129.38
2000-05-26,89.1
2000-05-27,87.52
2000-05-28,124.47
2000-05-29,120.06
2000-05-30,119.23
2000-05-31,121.24
2000-06-01,100.81
2000-06-02,119.15
2000-06-03,120.46
2000-06-04,100.4
2000-06-05,152.1
2000-06-06,124.36
2000-06-07,91.15
2000-06-08,128.2
2000-06-09,95.67
2000-06-10,131.0
2000-06-11,138.53
2000-06-12,99.03
2000-06-13,134.81
2000-06-14,123.89
2000-06-15,132.17
2000-06-16,153.76
2000-06-17,111.01
2000-06-18,100.94
2000-06-19,98.32
2000-06-20,99.89
2000-06-21,114.76
2000-06-22,123.22
2000-06-23,122.02
2000-06-24,133.13
2000-06-25,116.94
2000-06-26,145.85
2000-06-27,111.58
2000-06-28,171.37
2000-06-29,129.57
2000-06-30,100.01
2000-07-01,95.83
2000-07-02,126.99
2000-07-03,112.97
2000-07-04,131.81
2000-07-05,127.09
2000-07-06,116.27
2000-07-07,100.88
2000-07-08,87.62
2000-07-09,109.08
2000-07-10,135.23
2000-07-11,122.48
2000-07-12,93.38
2000-07-13,121.85
2000-07-14,126.19
2000-07-15,100.9
2000-07-16,121.75
2000-07-17,119.93
2000-07-18,96.0
2000-07-19,126.11
2000-07-20,130.27
2000-07-21,140.81
2000-07-22,140.32
2000-07-23,91.78
2000-07-24,100.67
2000-07-25,129.82
2000-07-26,129.89
2000-07-27,130.01
2000-07-28,196.86
